,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
135,Kenya,15-24,male,2020,5505500.0,57.93,3189336.15,12.873,298159.7724105,2018004.0775895002,64483439.90189746,2055944.2283560748,15192942.998393351,220611.96041397372,529869.3848712895,21538047.66382795,33558926.84604449,18118498.97133723,5347123.60070488,1096946.7678991547,1825094.870593577,707439.7217663316,1802079.969566044,6553253.62842996,5866620.236208713,11118885.35368572,2374222.3855315805,0,0,4093959.872755338,0
136,Kenya,15-24,male,2021,5645120.0,58.036,3276201.8432,12.474,295498.850879232,2073419.305920768,62218978.51487073,2189324.524592686,15173399.59903555,238334.1162583632,572434.7462335603,22047563.303030293,34051220.071563,18668742.79215727,5581969.279958301,1130260.1335239715,1732756.5224095355,718531.3207747497,1830333.893947931,6655998.864823422,5702304.818808082,11134942.745070338,2419603.455970988,0,0,4297946.162912966,0
137,Kenya,15-24,male,2022,5784740.0,57.349,3317490.5426,12.37,305198.75788038,2162050.6995196203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
138,Kenya,15-24,male,2023,5924360.0,57.228,3390392.7408,12.417,314642.714574864,2219324.544625136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
139,Kenya,15-24,male,2024,6063980.0,57.193,3468172.0814,12.438,322866.588915468,2272941.329684532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
156,Kenya,25-35,female,2015,4122072.64,14.453,595763.1586592,1.793,63226.729000440544,3463082.7523403596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
157,Kenya,25-35,female,2016,4203120.512,14.283,600331.70272896,1.787,64381.836021673495,3538406.9732493665,138028625.30689597,2333786.0538564655,23447689.36376483,0.0,994075.6472695862,8798260.754975058,88973718.0219475,8549406.868077211,16693155.748927124,560117.9928330583,4003583.188729617,938302.7752087265,1639684.296783118,4447693.9170206105,6871799.402338806,23804266.033151023,7620941.84467392,0,0,18345607.78742116,0
158,Kenya,25-35,female,2017,4284168.384,13.838,592843.2209779199,2.3,84900.47874950783,3606424.684272572,138759721.84616324,2335035.380950129,23552327.29272408,0.0,1000958.4039591954,8861042.779343715,90144713.51525089,8236161.165185662,16926749.233418904,539595.568637489,4081623.1356600528,915436.9012775406,1599726.1772850193,4339306.293027414,6900741.7607056,23993010.96185421,7649379.774097061,0,0,18558804.061443307,0
159,Kenya,25-35,female,2018,4365216.256,13.34,582319.8485504,2.793,105656.29666006734,3677240.110789533,139391015.1597728,2332325.5522405338,23655242.456642646,0.0,1008926.9597451164,8801331.102251919,89608246.17617641,8631893.076522097,16726461.443258148,565522.1115308213,4023539.3761795666,948257.6111861869,1657080.3747449066,4494881.311741935,6993204.599733976,24145473.985263348,7714102.103992781,0,0,18553591.24899979,0
160,Kenya,25-35,female,2019,4446264.1280000005,12.788,568588.25668864,3.322,128816.39244496339,3748859.4788663974,1341638.6015165278,24987.400530738465,230955.35174916696,0.0,11705.423033776828,119630.26401008492,890791.5192217168,89981.28908553607,175966.3425443163,5895.16206361773,43502.14344136335,10004.038745061258,17482.059808506765,47420.62311618924,70652.00004063976,249900.48436128508,77541.59768407494,0,0,184474.94519766563,0
161,Kenya,25-35,female,2020,4527312.0,13.634,617253.71808,3.597,140644.7964006624,3769413.4855193375,132551916.76316042,2423620.2550493376,23578002.53637326,0.0,1151303.3867864453,11943664.634559894,89923064.74002054,8682377.129421916,17172047.636832472,568829.595525519,4373114.336381384,1004160.6354060707,1754770.9213124993,4759869.913859757,7448051.304457999,25850972.11612646,7985682.21055467,0,0,18020574.90334464,0
162,Kenya,25-35,female,2021,4633654.368,12.436,576241.25720448,3.899,158198.5371899173,3899214.5736056026,131894303.79005322,2511099.7223408828,22776636.81044257,0.0,1246855.4585297771,12342974.102252912,90215438.32102759,8979689.580716657,18018777.22022878,588308.1460300338,4309762.61619296,1019626.6645928964,1781797.8105653701,4833181.179425826,6811770.786659184,24626689.144113533,7729414.604166673,0,0,18670740.241131596,0
163,Kenya,25-35,female,2022,4739996.736,11.682,553726.4186995199,3.754,157152.58771146002,4029117.72958902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
164,Kenya,25-35,female,2023,4846339.104,11.607,562514.5798012799,3.727,159658.1400168863,4124166.384181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
165,Kenya,25-35,female,2024,4952681.472,11.648,576888.33785856,3.7,161904.3459632333,4213888.788178206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
182,Kenya,25-35,male,2015,4085025.92,6.567,268263.6521664,1.354,51678.96110646695,3765083.3067271328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
183,Kenya,25-35,male,2016,4166646.272,6.499,270790.34121728,1.347,52477.179387643235,3843378.7513950765,126529978.22811027,4071699.3184448523,30597958.289234865,458988.4823250084,1102405.98168926,39006461.46637964,67918217.25448163,35866480.72284611,11090938.688569758,2171461.342746079,3553910.784331773,1327446.5358734578,3381439.774111987,12296586.635027602,11721304.160877185,21801742.523493454,4970726.958404294,0,0,8665561.705041679,0
184,Kenya,25-35,male,2017,4248266.624,6.685,283996.6238144,1.959,77660.0493036359,3886609.950881964,125883762.62321319,4068636.903617401,30485018.620009553,459556.1428301289,1103769.397897971,38818767.37060035,68664582.84776783,34831178.84860108,11179709.831237951,2108781.147960097,3585190.607866649,1288360.001091597,3281873.607210486,11934514.831591906,11644807.47168401,21722883.132962372,4940370.408721861,0,0,8656761.73593532,0
185,Kenya,25-35,male,2018,4329886.976,6.876,297723.02846976003,2.546,102658.89410411989,3929505.05342612,126706062.37340266,4054839.0291850306,30286535.789763935,460901.2302490913,1107000.0506782932,38519806.213935666,67677425.99222831,35710844.19781887,10951043.583395232,2162038.653627859,3555020.876048887,1328025.6724331987,3382915.0240334175,12301951.37303242,11639927.309633715,21574393.12068006,4917485.447586115,0,0,8660429.309633976,0
186,Kenya,25-35,male,2019,4411507.328,7.032,310217.19530495995,3.166,129846.84560112497,3971443.287093915,1254115.1927992569,41392.06446741066,297185.00223198277,4504.834391852097,10819.784311234047,408302.7654244223,669367.2748136983,369902.312791054,110099.0922253915,22394.964786899327,35210.77714012646,14044.293086052832,35775.40033219999,130097.0411940045,116921.9599947449,222230.6659269846,48010.38796703872,0,0,84654.19010971622,0
187,Kenya,25-35,male,2020,4493127.68,7.883,354193.25501439994,3.721,154009.74995371417,3984924.6750318855,127442418.98899832,4063283.630134903,30026707.79075853,436008.4067449796,1047212.0634219242,42566911.7335319,66324483.03690602,35808656.31346303,10567835.204569178,2167960.4843648854,3607042.4522438375,1398154.7753650825,3561556.7482521855,12951580.993912974,11594546.992680628,21974907.791688014,4692315.492013188,0,0,8091133.944181528,0
188,Kenya,25-35,male,2021,4598833.344,7.098,326425.19075711997,3.697,157950.92942538927,4114457.2238174905,122967030.62093182,4326890.962865965,29988083.0199148,471033.74680042773,1131336.4932817682,43573897.49098313,67297431.12415794,36896135.57427386,11031974.547921572,2233799.650301917,3424548.7379518314,1420075.7555460297,3617396.642566725,13154642.454118883,11269800.75856871,22006642.959722202,4782004.773507894,0,0,8494284.059898522,0
189,Kenya,25-35,male,2022,4704539.008,6.698,315110.02275584004,3.519,154464.005990742,4234964.979253419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
190,Kenya,25-35,male,2023,4810244.672,6.667,320699.01228224003,3.465,155562.75710922037,4333982.90260854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
191,Kenya,25-35,male,2024,4915950.336,6.661,327451.45188095997,3.416,156743.1218815064,4431755.762237534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
208,Rwanda,15-24,female,2015,1120700.0,57.894,648818.058,17.894,84438.55470148,387443.3872985201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
209,Rwanda,15-24,female,2016,1155980.0,58.237,673208.0726000001,17.946,86638.250091204,396133.677308796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
210,Rwanda,15-24,female,2017,1191260.0,58.469,696517.8094,17.968,88895.27680700799,405846.913792992,258409.5254672079,1038.056426026855,14667.20147010823,141.67699252859964,802.8362909953979,8981.049866123856,53720.1011862769,1286.21820941429,4624.255299407033,944.5132835239976,2200.988406365777,291.52765770307997,1379.9883983795328,2457.7779553238643,3690.640246077543,10494.087491461336,5792.409348380823,0,0,28362.41703474381,0
211,Rwanda,15-24,female,2018,1226540.0,63.691,781195.5914,18.419,82027.98662003399,363316.421979966,222792.98217562994,710.5255123021917,17777.418744338396,199.15059788646226,553.0439491404999,9258.155250468395,48187.01077622556,827.5118163651626,6377.318605599985,682.1592680059863,2821.9522342949103,122.65955292221204,1528.6471236589553,3524.261317214753,3054.3598082527856,9498.192365995596,5178.502432861044,0,0,24309.480103305956,0
212,Rwanda,15-24,female,2019,1261820.0,63.503,801293.5545999999,18.032,83042.12863452802,377484.31676547206,215746.52519694078,1377.2424800224655,20701.494866206594,101.86459713936456,424.0217376858103,11109.452344113872,53129.63387342228,1121.338735989428,9952.502407498487,743.6943758630031,3350.351444937393,77.01957344683662,1819.2768598853586,3815.781555444083,3857.6040119931727,12035.136518524641,4884.945741679203,0,0,24701.957764431805,0
213,Rwanda,15-24,female,2020,1297100.0,59.025,765613.275,19.035,101168.49810375,430318.2268962499,259275.1828734271,1537.3238516088704,18851.990005790543,173.15720704772707,673.6469175523024,18629.690741200648,55558.57606837199,1236.3551129278637,11052.955654742003,479.3986986839021,3467.7841635550894,290.4232327706701,1370.704858225552,4370.901289716317,3359.798183033243,11121.290533040985,6730.774602331441,0,0,23101.828887656196,0
214,Rwanda,15-24,female,2021,1335160.0,61.006,814527.7096,19.143,99664.63935127202,420967.65104872803,277220.210353851,871.105490450805,17576.785705463823,261.96948588347954,491.13583614328866,11673.58809052079,44550.075170238655,1010.5188168514046,5272.648452399146,738.7539501914123,3170.7419774018713,173.12766023603868,607.0858085908461,4383.318997712969,2944.0814222244258,13882.104756294993,6350.595936921429,0,0,18933.559842787305,0
215,Rwanda,15-24,female,2022,1373220.0,61.847,849295.3734,18.698,97963.426681668,425961.1999183319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
216,Rwanda,15-24,female,2023,1411280.0,62.521,882346.3687999999,18.267,96620.30641130402,432313.324788696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
217,Rwanda,15-24,female,2024,1449340.0,63.065,914026.271,17.876,95692.68219604001,439621.04680396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
234,Rwanda,15-24,male,2015,1091100.0,53.881,587895.591,15.468,77835.65798412,425368.75101588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
235,Rwanda,15-24,male,2016,1128820.0,54.457,614721.5074,15.489,79628.715518814,434469.77708118595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
236,Rwanda,15-24,male,2017,1166540.0,54.867,640045.5018,15.486,81532.93799125201,444961.560208748,192987.4226654978,9883.275237875318,21566.61989896524,1986.1891202930528,1411.6357907089691,53198.75723919511,54109.283992549485,27387.650277812165,5378.539922557473,1584.2983038074808,2933.4380197621667,396.41670774797035,3868.5982624357443,6128.720907472936,10507.779809690013,14866.766979869222,5476.617704106166,0,0,20850.424005795718,0
237,Rwanda,15-24,male,2018,1204260.0,58.393,703203.5418000001,17.129,85825.960725078,415230.49747492187,165871.89589220993,11915.291994421807,23182.16986025285,1048.7446476458615,810.7703946519962,55949.425032043655,47013.5625976198,27603.800224503353,7418.448017500347,2058.6693661712284,2919.177795008858,623.3429243671084,3500.6679832929335,6833.722835122897,9073.349683392264,11683.787729614689,4569.631344022385,0,0,19981.547579120408,0
238,Rwanda,15-24,male,2019,1241980.0,58.756,729737.7688,16.53,84673.64081736,427568.59038264,165154.87368553178,13258.924814320784,22579.03331267746,1759.9271944397337,1048.1225694222182,53758.577765835915,47392.12009263836,33938.99217261559,10066.160133566622,1624.7848009258923,3869.502007909966,661.9721491087695,3757.7378129705985,8545.14172280462,10162.954078541634,12406.235782104468,4598.9428178169965,0,0,19755.398083099193,0
239,Rwanda,15-24,male,2020,1279700.0,52.481,671599.3570000001,15.571,94687.35112152998,513413.29187847,210846.64278462948,12606.435479313262,28330.936455068742,1305.1421644771908,648.05345619333,81721.14458322497,48733.89096330113,33797.03808853768,11985.939541996051,1906.21230979976,4876.099671957272,701.813206131989,3924.9135081266304,12078.550875923991,10618.454138094196,12851.290810966648,5364.906810054996,0,0,14437.881078063876,0
240,Rwanda,15-24,male,2021,1317280.0,55.473,730734.7344,16.472,96615.73614963201,489929.529450368,233890.80266872427,6128.189435117354,18885.096975453973,1275.0333993074494,670.032281646743,73619.50348400453,36295.371668740874,35705.39580196502,7377.163414921374,2061.980914402012,4733.423567821174,446.76644427952056,3387.4897659007893,7860.319138687666,12425.412942689389,14873.824528286403,4884.849924395157,0,0,12462.036991721234,0
241,Rwanda,15-24,male,2022,1354860.0,56.431,764561.0466,16.277,96082.960644918,494215.99275508197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
242,Rwanda,15-24,male,2023,1392440.0,57.259,797297.2196,16.013,95300.21342545202,499842.56697454804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
243,Rwanda,15-24,male,2024,1430020.0,57.923,828310.4846000001,15.731,94654.92386757399,507054.59153242595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
260,Rwanda,25-35,female,2015,1096585.6,39.392,431966.9995520001,10.817,71891.79401046016,592726.8064375399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
261,Rwanda,25-35,female,2016,1103553.376,39.162,432173.57310911996,10.879,73039.40875649884,598340.3941343811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
262,Rwanda,25-35,female,2017,1110521.152,39.005,433158.77533760003,10.921,73974.7451553007,603387.6315070993,384187.0080354037,1543.316918237174,21806.271416911946,210.63642978565105,1193.6064354520227,13352.4593214763,79867.66319391695,1912.26822874313,6875.0515471864655,1404.2428652376736,3272.2909460610595,433.424961289705,2051.6798401236965,3654.0694750475523,5487.011484239995,15601.948372905112,8611.789417774886,0,0,42167.45540447715,0
263,Rwanda,25-35,female,2018,1117488.928,47.081,526124.9621916801,11.129,65812.89575480793,525551.070053512,322278.5514200398,1027.8022701416112,25715.714673617465,288.0789402544494,799.9991788794974,13392.274899353453,69704.35010372836,1197.02742365061,9225.034747892727,986.769415193777,4082.0616042931556,177.4317244985656,2211.246403878455,5097.978495760222,4418.248029658858,13739.497747774092,7490.901402235294,0,0,35164.59071988079,0
264,Rwanda,25-35,female,2019,1124456.704,49.011,551107.47519744,11.983,68704.43808741076,504644.79071514914,288423.53236935724,1841.184420720608,27675.061135687225,136.1790040581087,566.8589437215583,14851.815040142272,71027.03814708018,1499.076191013652,13305.131555027005,994.2174442616392,4478.960657862429,102.96461282442365,2432.1237980865876,5101.176920306795,5157.087812216832,16089.327900190654,6530.502889729709,0,0,33023.131697497745,0
265,Rwanda,25-35,female,2020,1131424.48,44.718,505950.3989664,12.803,80079.44659473181,545394.6344388681,328610.9784432089,1948.4375228765832,23893.42015980251,219.46319197169362,853.7946835049811,23611.67326048684,70416.14180116863,1566.9832294008138,14008.755223469641,607.600286664628,4395.144704504977,368.0886910414398,1737.2610044141738,5539.774896980973,4258.280935577442,14095.364327244099,8530.729409735271,0,0,29279.757940837382,0
266,Rwanda,25-35,female,2021,1141668.736,45.611,520726.52717695996,13.182,81852.60196705314,539089.6068559869,355007.16941048927,1115.5344483295185,22508.76634379114,335.4771484254567,628.9467234828562,14949.153453097852,57050.66042271417,1294.0666351437617,6752.133980396192,946.0455585597879,4060.440372986028,221.70663722030181,777.4318265685584,5613.261991306642,3770.1797097831322,17777.3716739542,8132.549516352071,0,0,24246.246253375506,0
267,Rwanda,25-35,female,2022,1151912.992,46.483,535443.71607136,12.832,79105.3374871631,537363.9384414769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
268,Rwanda,25-35,female,2023,1162157.2480000001,47.319,549921.1881811201,12.506,76566.24164094914,535669.8181779309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
269,Rwanda,25-35,female,2024,1172401.504,48.026,563057.54631104,12.215,74431.36443170646,534912.5932572535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
286,Rwanda,25-35,male,2015,1025688.96,21.269,218153.78490239996,9.771,78904.2619587865,728630.9131388136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
287,Rwanda,25-35,male,2016,1038388.8,21.554,223814.321952,9.831,80080.81693689887,734493.6611111012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
288,Rwanda,25-35,male,2017,1051088.6400000001,21.745,228559.22476800001,9.874,81216.5544600077,741312.8607719925,321520.03944353573,16465.689838351806,35930.323255302595,3309.021880694365,2351.807122142561,88629.95468642538,90146.90638000966,45628.25015208726,8960.730933469662,2639.465547003107,4887.153239275404,660.4363836296286,6445.144708137013,10210.544089832061,17506.12414121597,24768.264375707247,9124.130038740514,0,0,34737.12978890614,0
289,Rwanda,25-35,male,2018,1063788.48,29.744,316413.24549119995,9.597,71725.60125580954,675649.6332529904,269901.38322707976,19388.177687067906,37721.27687955855,1706.4833649430059,1319.2593586700314,91039.09451135407,76498.94822312944,44916.010773512404,12071.058635651403,3349.80019700206,4749.991675929655,1014.2834420897026,5696.173699753847,11119.61273408688,14763.86109218861,19011.481436275586,7435.5563005739095,0,0,32513.327840220252,0
290,Rwanda,25-35,male,2019,1076488.32,30.183,324916.46962560003,9.952,74796.43054926029,676775.4198251397,261414.80335275776,20986.841899709016,35739.142428020445,2785.6944889537203,1659.017074463116,85091.57327042331,75014.44842661438,53720.212833006604,15933.185700860207,2571.7848329037897,6124.827465866668,1047.8002575556523,5947.9219081319,13525.647128899156,16086.395651779125,19637.16610326651,7279.420252770466,0,0,31269.76146572683,0
291,Rwanda,25-35,male,2020,1089188.16,27.601,300626.8240416,10.481,82649.1136217999,705912.2223366001,289901.38069027785,17333.08627905854,38953.32401835941,1794.4915341408393,891.0343045084923,112361.63086773036,67006.15238679234,46468.88314516351,16479.941896177806,2620.9266280052866,6704.34211621639,964.950708995429,5396.518673802567,16607.276878697317,14599.732178682369,17669.74754991501,7376.422365416941,0,0,19851.213201663926,0
292,Rwanda,25-35,male,2021,1098918.2719999999,27.793,305422.35533695994,10.726,85110.37202127767,708385.5446417623,338181.0110957351,8860.704549761733,27305.824414334886,1843.5615220379254,968.7948046209242,106445.90484325109,52479.214013453005,51626.17219705063,10666.586946602418,2981.403212678899,6844.022722763517,645.9763536067339,4897.946824062829,11365.178294853948,17965.814235937993,21505.954746586773,7062.968990801531,0,0,18018.76868216114,0
293,Rwanda,25-35,male,2022,1108648.384,28.67,317849.4916928,10.489,82946.89581410222,707851.9964930979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
294,Rwanda,25-35,male,2023,1118378.496,29.604,331084.76995584,10.255,80736.97160582861,706556.7544383314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
295,Rwanda,25-35,male,2024,1128108.608,30.371,342617.86533568,10.035,78823.9960263645,706666.7466379555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
